id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,in_reply_to_screen_name,in_reply_to_status_id,user_mention,hashtags,query,url,media,lat,lng
448473989187665920,https://twitter.com/bolikowski/status/448473989187665920,2014-03-25 14:58:25+00:00,"After insiders' takes on @resdatall, Odile Hologne presents a practical example of a WG #RDAplenary",en,0,bolikowski,,resdatall,RDAplenary,#rdaplenary,,,,,
448474073816109056,https://twitter.com/atreloar/status/448474073816109056,2014-03-25 14:58:46+00:00,@natalieharrower The distinction is captured nicely by @MokraneMustapha as between co-ordination (IG) and implementation (WG). #RDAPlenary,en,0,atreloar,,natalieharrower,RDAPlenary,#rdaplenary,,natalieharrower,4.48473E+17,,
448474197359329280,https://twitter.com/astarmain/status/448474197359329280,2014-03-25 14:59:15+00:00,Try not to have too much fun at #RDAPlenary tomorrow. I won't get to Croke Park until Thurs but want to have something left to talk about.,en,0,astarmain,,,RDAPlenary,#rdaplenary,,,,,
448474596736770048,https://twitter.com/LM_HATII/status/448474596736770048,2014-03-25 15:00:50+00:00,Delighted to be in Dublin at 3rd #rdaplenary. Even more delighted to get online at last! ; ),en,0,LM_HATII,,,rdaplenary,#rdaplenary,,,,,
448475117786763264,https://twitter.com/vtenhunen/status/448475117786763264,2014-03-25 15:02:55+00:00,RT @natalieharrower: Full house @RIAdawson for newcomers' session #RDAPlenary http://t.co/IHtKWLuEvJ,en,4,vtenhunen,https://pbs.twimg.com/media/BjlFUoGIYAAFqB3.jpg,natalieharrower,RDAPlenary,#rdaplenary,,,,,
448475618314059776,https://twitter.com/laurencedata/status/448475618314059776,2014-03-25 15:04:54+00:00,"Not in Dublin for @resdatall #RDAPlenary, but  great people and interesting sessions are. Hoping plenty of useful tweets emerge.",en,0,laurencedata,,resdatall,RDAPlenary,#rdaplenary,,,,,
448479728706785280,https://twitter.com/chrisftaylor/status/448479728706785280,2014-03-25 15:21:14+00:00,MASSIVE COOKIES  :)  #rdaplenary http://t.co/PzqXb3rqo6,en,0,chrisftaylor,https://pbs.twimg.com/media/BjlR79mIIAAzsdT.jpg,,rdaplenary,#rdaplenary,,,,53.3427963,-6.2587094
448491188044435456,https://twitter.com/natalieharrower/status/448491188044435456,2014-03-25 16:06:46+00:00,"Explanation of TAB, Council, Secretariat, etc. by @chutneyboy is very helpful. Mark are these slides available on the website? #RDAPlenary",en,0,natalieharrower,,chutneyboy,RDAPlenary,#rdaplenary,,,,,
448492480745316352,https://twitter.com/veerle_vv/status/448492480745316352,2014-03-25 16:11:54+00:00,"Join us for wine/drinks and new RDM book till 6pm, Croke Park Conf Centre, Rm 683, 6th fl @resdatall https://t.co/Jd9q99LVss … … #RDAPlenary",en,1,veerle_vv,,resdatall,RDAPlenary,#rdaplenary,https://www.rd-alliance.org/research-data-management-social-science-coalface.html,,,,
448493386874769408,https://twitter.com/gmcmahon/status/448493386874769408,2014-03-25 16:15:30+00:00,Application of metadata standards for research data (2011) #RDAPlenary *Gulp* http://t.co/njGkSN3Bqz,en,2,gmcmahon,https://pbs.twimg.com/media/BjleW93IUAAW_s7.png,,RDAPlenary,#rdaplenary,,,,,
